epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.275,1.49235,3.16214,1.32645,0.8315,0.30769,0.52453,0.27374,1.35661,3.85837,1.29852,0.000649573,0.000649573,0.000649573
2,469.504,1.56708,2.28125,1.33409,0.42053,0.30153,0.28843,0.12111,1.54429,3.75285,1.52947,0.00129018,0.00129018,0.00129018
3,710.775,1.55767,2.03281,1.34336,0.08663,0.2,0.05947,0.01908,1.84596,4.25288,1.92746,0.00190438,0.00190438,0.00190438
4,969.622,1.63989,1.84638,1.36208,0.5095,0.56923,0.45308,0.22387,1.66475,2.5786,1.61624,0.0018812,0.0018812,0.0018812
5,1234.43,1.58179,1.62036,1.34156,0.01755,0.26154,0.0111,0.00462,2.03471,16.7437,1.79331,0.0018416,0.0018416,0.0018416
6,1502.99,1.57054,1.4507,1.33776,0.74142,0.66167,0.6889,0.34625,1.64532,1.79127,1.61032,0.001802,0.001802,0.001802
7,1771.04,1.50055,1.37937,1.28848,0.68219,0.61538,0.60925,0.30748,1.74339,1.78513,1.58432,0.0017624,0.0017624,0.0017624
8,2040.55,1.51888,1.35376,1.27908,0.72804,0.61538,0.70177,0.3615,1.58587,1.81114,1.51171,0.0017228,0.0017228,0.0017228
9,2311.72,1.52083,1.23609,1.31828,0.84046,0.75385,0.81886,0.42634,1.59824,1.44873,1.51708,0.0016832,0.0016832,0.0016832
10,2573.3,1.473,1.15947,1.29251,0.90269,0.67692,0.81812,0.4372,1.54908,1.344,1.44608,0.0016436,0.0016436,0.0016436
11,2827.02,1.42117,1.1143,1.2674,0.80651,0.76953,0.83634,0.41001,1.53198,1.27047,1.43264,0.001604,0.001604,0.001604
12,3084.76,1.41045,1.06012,1.25604,0.74227,0.76923,0.83284,0.45944,1.54342,1.16526,1.49833,0.0015644,0.0015644,0.0015644
13,3353.04,1.38533,1.06065,1.24522,0.84853,0.78462,0.86125,0.47744,1.57886,1.14712,1.47641,0.0015248,0.0015248,0.0015248
14,3608.42,1.39718,1.03548,1.24658,0.75557,0.73846,0.80668,0.42613,1.55253,1.21401,1.50203,0.0014852,0.0014852,0.0014852
15,3858.86,1.413,0.98017,1.23328,0.87514,0.76923,0.85754,0.49164,1.47783,1.14916,1.40058,0.0014456,0.0014456,0.0014456
16,4093.6,1.33316,0.94213,1.20777,0.84883,0.8,0.86237,0.47216,1.46599,1.14522,1.41279,0.001406,0.001406,0.001406
17,4322.8,1.3237,0.9405,1.21035,0.8425,0.82302,0.8593,0.47217,1.49131,1.07006,1.45595,0.0013664,0.0013664,0.0013664
18,4552.56,1.3369,0.90314,1.19422,0.9463,0.81335,0.88986,0.47298,1.55057,1.11808,1.44105,0.0013268,0.0013268,0.0013268
19,4781.33,1.33779,0.89783,1.187,0.91761,0.81538,0.92067,0.50612,1.51878,1.06064,1.4396,0.0012872,0.0012872,0.0012872
